LEXER DUMP (on parse error)
=============================
Error at test_program.txt:29:10
Current token: TOK_LPAREN = '('

Type: TOK_INT, Name: int, Value: int, Line: 1, Col: 1
Type: IDENTIFIER, Name: f, Value: f, Line: 1, Col: 5
Type: TOK_LPAREN, Name: (, Value: (, Line: 1, Col: 6
Type: TOK_INT, Name: int, Value: int, Line: 1, Col: 7
Type: IDENTIFIER, Name: x, Value: x, Line: 1, Col: 11
Type: TOK_RPAREN, Name: ), Value: ), Line: 1, Col: 12
Type: TOK_LBRACE, Name: {, Value: {, Line: 1, Col: 14
Type: TOK_RETURN, Name: return, Value: return, Line: 2, Col: 5
Type: IDENTIFIER, Name: x, Value: x, Line: 2, Col: 12
Type: TOK_STAR, Name: *, Value: *, Line: 2, Col: 13
Type: IDENTIFIER, Name: x, Value: x, Line: 2, Col: 14
Type: TOK_SEMICOLON, Name: ;, Value: ;, Line: 2, Col: 15
Type: TOK_RBRACE, Name: }, Value: }, Line: 3, Col: 1
Type: TOK_INT, Name: int, Value: int, Line: 4, Col: 1
Type: IDENTIFIER, Name: tmgg, Value: tmgg, Line: 4, Col: 5
Type: TOK_LPAREN, Name: (, Value: (, Line: 4, Col: 9
Type: TOK_INT, Name: int, Value: int, Line: 4, Col: 10
Type: IDENTIFIER, Name: x, Value: x, Line: 4, Col: 14
Type: TOK_RPAREN, Name: ), Value: ), Line: 4, Col: 15
Type: TOK_LBRACE, Name: {, Value: {, Line: 4, Col: 17
Type: TOK_IF, Name: if, Value: if, Line: 5, Col: 4
Type: TOK_LPAREN, Name: (, Value: (, Line: 5, Col: 6
Type: IDENTIFIER, Name: x, Value: x, Line: 5, Col: 7
Type: TOK_GT, Name: >, Value: >, Line: 5, Col: 8
Type: NUMBER, Name: 10, Value: 10, Line: 5, Col: 9
Type: TOK_RPAREN, Name: ), Value: ), Line: 5, Col: 11
Type: TOK_LBRACE, Name: {, Value: {, Line: 5, Col: 13
Type: TOK_RETURN, Name: return, Value: return, Line: 6, Col: 8
Type: IDENTIFIER, Name: x, Value: x, Line: 6, Col: 15
Type: TOK_MINUS, Name: -, Value: -, Line: 6, Col: 16
Type: NUMBER, Name: 10, Value: 10, Line: 6, Col: 17
Type: TOK_SEMICOLON, Name: ;, Value: ;, Line: 6, Col: 19
Type: TOK_RBRACE, Name: }, Value: }, Line: 7, Col: 4
Type: TOK_ELSE, Name: else, Value: else, Line: 7, Col: 6
Type: TOK_LBRACE, Name: {, Value: {, Line: 7, Col: 11
Type: TOK_RETURN, Name: return, Value: return, Line: 8, Col: 8
Type: IDENTIFIER, Name: tmgg, Value: tmgg, Line: 8, Col: 15
Type: TOK_LPAREN, Name: (, Value: (, Line: 8, Col: 19
Type: IDENTIFIER, Name: x, Value: x, Line: 8, Col: 20
Type: TOK_PLUS, Name: +, Value: +, Line: 8, Col: 21
Type: NUMBER, Name: 1, Value: 1, Line: 8, Col: 22
Type: TOK_RPAREN, Name: ), Value: ), Line: 8, Col: 23
Type: TOK_SEMICOLON, Name: ;, Value: ;, Line: 8, Col: 24
Type: TOK_RBRACE, Name: }, Value: }, Line: 9, Col: 4
Type: TOK_RBRACE, Name: }, Value: }, Line: 10, Col: 1
Type: TOK_INT, Name: int, Value: int, Line: 13, Col: 1
Type: IDENTIFIER, Name: main, Value: main, Line: 13, Col: 5
Type: TOK_LPAREN, Name: (, Value: (, Line: 13, Col: 9
Type: TOK_RPAREN, Name: ), Value: ), Line: 13, Col: 10
Type: TOK_LBRACE, Name: {, Value: {, Line: 13, Col: 12
Type: TOK_INT, Name: int, Value: int, Line: 14, Col: 5
Type: IDENTIFIER, Name: result, Value: result, Line: 14, Col: 9
Type: TOK_EQUAL, Name: =, Value: =, Line: 14, Col: 16
Type: NUMBER, Name: 7, Value: 7, Line: 14, Col: 18
Type: TOK_SEMICOLON, Name: ;, Value: ;, Line: 14, Col: 19
Type: IDENTIFIER, Name: print, Value: print, Line: 15, Col: 5
Type: TOK_LPAREN, Name: (, Value: (, Line: 15, Col: 10
Type: NUMBER, Name: 5, Value: 5, Line: 15, Col: 11
Type: TOK_RPAREN, Name: ), Value: ), Line: 15, Col: 12
Type: TOK_SEMICOLON, Name: ;, Value: ;, Line: 15, Col: 13
Type: IDENTIFIER, Name: print, Value: print, Line: 16, Col: 5
Type: TOK_LPAREN, Name: (, Value: (, Line: 16, Col: 10
Type: STRING, Name: Hello, World!, Value: Hello, World!, Line: 16, Col: 12
Type: TOK_RPAREN, Name: ), Value: ), Line: 16, Col: 26
Type: TOK_SEMICOLON, Name: ;, Value: ;, Line: 16, Col: 27
Type: IDENTIFIER, Name: print, Value: print, Line: 17, Col: 5
